0.926,242606375817558,Linux,armv7l,"up 1 hour, 12 minutes",2022-02-03 20:28:00,58.426,61.9,4,0,1800.0,600.0,1800.0,21.0,20.75,17.0,8.282423296,259.530752,83.8341882303138,16.2,6.3,986232,29984236,7517,27577
0.926,242606375817558,Linux,armv7l,"up 1 hour, 13 minutes",2022-02-03 20:28:00,58.913,65.0,4,0,1800.0,600.0,1800.0,16.5,19.0,16.5,8.282423296,259.60448,83.5840987183469,16.4,6.3,988897,29998422,7538,27668
0.926,242606375817558,Linux,armv7l,"up 1 hour, 13 minutes",2022-02-03 20:28:00,58.426,59.1,4,0,1800.0,600.0,1800.0,13.25,18.25,16.5,8.282423296,259.825664,83.752885648215,16.2,6.3,990252,30005073,7561,27731
0.926,242606375817558,Linux,armv7l,"up 1 hour, 14 minutes",2022-02-03 20:28:00,59.887,50.0,4,0,1800.0,600.0,1800.0,17.0,18.25,16.5,8.282423296,260.018176,83.81984653395817,16.2,6.3,990587,30007156,7566,27758
0.86,242606375817558,Linux,armv7l,"up 1 hour, 15 minutes",2022-02-03 20:28:00,56.478,61.5,4,0,1100.0,600.0,1800.0,13.25,17.25,16.25,8.282423296,260.145152,83.99872210540059,16.0,6.3,992706,30009695,7579,27796
0.926,242606375817558,Linux,armv7l,"up 1 hour, 15 minutes",2022-02-03 20:28:00,58.426,35.0,4,0,1800.0,600.0,1800.0,17.25,17.75,16.5,8.282423296,260.1984,83.64304803578105,16.4,6.3,992865,30010860,7581,27813
0.86,242606375817558,Linux,armv7l,"up 1 hour, 16 minutes",2022-02-03 20:28:00,54.53,10.4,4,0,800.0,600.0,1800.0,18.5,18.75,16.75,8.282423296,260.38272,83.9693958090596,16.0,6.3,995194,30013211,7596,27849
0.86,242606375817558,Linux,armv7l,"up 1 hour, 17 minutes",2022-02-03 20:28:00,54.043,8.0,4,0,800.0,600.0,1800.0,14.75,17.75,16.5,8.282423296,260.7104,84.0316090987678,16.0,6.3,995992,30041375,7607,27984
0.86,242606375817558,Linux,armv7l,"up 1 hour, 18 minutes",2022-02-03 20:28:00,53.069,8.0,4,0,800.0,600.0,1800.0,13.25,16.75,16.25,8.282423296,260.743168,83.96900017605668,16.0,6.3,998232,30058044,7621,28078
0.86,242606375817558,Linux,armv7l,"up 1 hour, 19 minutes",2022-02-03 20:28:00,52.582,7.8,4,0,800.0,600.0,1800.0,9.25,15.0,15.75,8.282423296,260.79232,84.03076837863661,16.0,6.3,998556,30081891,7626,28199
0.86,242606375817558,Linux,armv7l,"up 1 hour, 20 minutes",2022-02-03 20:28:00,52.582,7.9,4,0,1000.0,600.0,1800.0,9.5,14.000000000000002,15.25,8.282423296,260.83328,83.9803251707651,16.0,6.3,1000691,30100708,7639,28301
0.86,242606375817558,Linux,armv7l,"up 1 hour, 21 minutes",2022-02-03 20:28:00,53.069,7.9,4,0,900.0,600.0,1800.0,10.75,13.5,15.0,8.282423296,260.890624,84.017514673039,16.0,6.3,1001015,30111567,7644,28366
0.86,242606375817558,Linux,armv7l,"up 1 hour, 22 minutes",2022-02-03 20:28:00,52.582,7.8,4,0,900.0,600.0,1800.0,14.499999999999998,13.750000000000002,15.0,8.282423296,260.931584,83.99605158263093,16.0,6.3,1003321,30118739,7659,28423
