0.926,242606375817558,Linux,armv7l,"up 3 hours, 51 minutes",2022-02-03 20:28:00,53.069,50.0,4,0,1800.0,600.0,1800.0,7.000000000000001,2.75,2.0,8.282423296,305.332224,83.48914679764756,16.5,6.3,1234747,32206956,9313,40735
0.926,242606375817558,Linux,armv7l,"up 3 hours, 51 minutes",2022-02-03 20:28:00,52.095,29.4,4,0,1800.0,600.0,1800.0,8.25,3.5000000000000004,2.25,8.282423296,305.33632,83.78092613729652,16.2,6.3,1235370,32209289,9320,40757
0.86,242606375817558,Linux,armv7l,"up 4 hours, 1 minute",2022-02-03 20:28:00,49.173,2.1,4,0,700.0,600.0,1800.0,3.0,2.75,2.25,8.282423296,305.72544,83.91563917478868,16.1,6.3,1248716,32371256,9420,41676
0.86,242606375817558,Linux,armv7l,"up 4 hours, 11 minutes",2022-02-03 20:28:00,47.225,1.9,4,0,600.0,600.0,1800.0,0.0,0.0,0.75,8.282423296,301.387776,83.88834049758763,16.1,6.3,1264577,32589278,9532,42762
0.86,242606375817558,Linux,armv7l,"up 4 hours, 21 minutes",2022-02-03 20:28:00,46.251,1.8,4,0,600.0,600.0,1800.0,1.0,0.25,0.0,8.282423296,301.494272,83.88275218142147,16.1,6.3,1277319,32692422,9627,43444
0.86,242606375817558,Linux,armv7l,"up 4 hours, 31 minutes",2022-02-03 20:28:00,46.738,1.8,4,0,800.0,600.0,1800.0,8.5,3.5000000000000004,1.0,8.282423296,301.838336,83.873998801232,16.1,6.3,1293279,32784294,9740,44064
0.86,242606375817558,Linux,armv7l,"up 4 hours, 41 minutes",2022-02-03 20:28:00,45.764,1.9,4,0,600.0,600.0,1800.0,1.5,1.7500000000000002,1.0,8.282423296,302.166016,83.87019083357896,16.1,6.3,1316310,32929212,9863,44880
0.86,242606375817558,Linux,armv7l,"up 4 hours, 51 minutes",2022-02-03 20:28:00,47.225,1.9,4,0,600.0,600.0,1800.0,7.000000000000001,3.75,2.0,8.282423296,302.505984,83.8741471636081,16.1,6.3,1329580,33116753,9966,45875
0.86,242606375817558,Linux,armv7l,"up 5 hours, 1 minute",2022-02-03 20:28:00,46.738,1.8,4,0,675.0,600.0,1800.0,0.5,1.25,1.5,8.282423296,302.85824,83.88942848834564,16.1,6.3,1345071,33222092,10072,46557
0.86,242606375817558,Linux,armv7l,"up 5 hours, 11 minutes",2022-02-03 20:28:00,45.764,1.8,4,0,800.0,600.0,1800.0,0.0,1.0,1.25,8.282423296,303.181824,83.88235654841856,16.1,6.3,1372717,33305425,10207,47168
0.86,242606375817558,Linux,armv7l,"up 5 hours, 21 minutes",2022-02-03 20:28:00,46.738,1.8,4,0,700.0,600.0,1800.0,3.5000000000000004,3.25,2.25,8.282423296,303.538176,83.88141692003664,16.1,6.3,1385645,33392921,10301,47783
0.86,242606375817558,Linux,armv7l,"up 5 hours, 31 minutes",2022-02-03 20:28:00,46.251,1.8,4,0,600.0,600.0,1800.0,3.5000000000000004,2.25,2.25,8.282423296,303.890432,83.86895448044486,16.1,6.3,1401703,33500428,10413,48461
0.86,242606375817558,Linux,armv7l,"up 5 hours, 41 minutes",2022-02-03 20:28:00,45.764,1.8,4,0,700.0,600.0,1800.0,3.25,2.25,2.0,8.282423296,304.226304,83.88018056690252,16.1,6.3,1414488,33579860,10508,49042
0.86,242606375817558,Linux,armv7l,"up 5 hours, 51 minutes",2022-02-03 20:28:00,45.277,1.8,4,0,600.0,600.0,1800.0,4.5,2.75,2.25,8.282423296,304.562176,83.87696604875386,16.1,6.3,1427752,33716038,10610,49839
0.86,242606375817558,Linux,armv7l,"up 6 hours, 1 minute",2022-02-03 20:28:00,46.251,1.8,4,0,800.0,600.0,1800.0,0.0,0.75,1.5,8.282423296,305.012736,83.86395961378307,16.1,6.3,1443588,33817419,10723,50512
0.86,242606375817558,Linux,armv7l,"up 6 hours, 11 minutes",2022-02-03 20:28:00,45.764,1.9,4,0,800.0,600.0,1800.0,3.0,2.0,1.7500000000000002,8.282423296,305.41824,83.8571349444828,16.1,6.3,1457171,33909440,10828,51153
0.86,242606375817558,Linux,armv7l,"up 6 hours, 21 minutes",2022-02-03 20:28:00,44.79,1.9,4,0,600.0,600.0,1800.0,1.25,1.7500000000000002,1.7500000000000002,8.282423296,305.803264,83.85589859134869,16.1,6.3,1470588,33998096,10929,51782
0.86,242606375817558,Linux,armv7l,"up 6 hours, 31 minutes",2022-02-03 20:28:00,45.764,1.8,4,0,700.0,600.0,1800.0,1.25,1.5,1.5,8.282423296,306.122752,83.85134881181519,16.1,6.3,1486362,34109452,11043,52495
0.86,242606375817558,Linux,armv7l,"up 6 hours, 41 minutes",2022-02-03 20:28:00,46.251,1.8,4,0,900.0,600.0,1800.0,2.75,1.5,1.25,8.282423296,306.42176,83.86470142566353,16.1,6.3,1499852,34205632,11145,53152
0.86,242606375817558,Linux,armv7l,"up 6 hours, 51 minutes",2022-02-03 20:28:00,45.764,1.8,4,0,600.0,600.0,1800.0,1.25,1.25,1.25,8.282423296,306.782208,83.85362370158194,16.1,6.3,1516095,34317862,11261,53873
0.86,242606375817558,Linux,armv7l,"up 7 hours, 1 minute",2022-02-03 20:28:00,45.277,1.8,4,0,600.0,600.0,1800.0,10.25,4.25,1.7500000000000002,8.282423296,307.146752,83.85263461907465,16.1,6.3,1529020,34408211,11357,54512
